dept_names,dept_index
CLOSED-FLINT ADMINIST DEAN'S OFF,643
CLOSED PURCHASING & STORES OFFIC,644
FLINT ART DEPARTMENT,645
EDUCATION SPECIALISTS,646
FLINT V-CHANCELLOR FOR ADMIN,647
CLOSED OFC OF PLANNING&MARKETING,648
UMH PSYCH HOSP ADULT SVCS PSYCH,649
RESEARCH ACTIVITIES,650
UMH TC - LIVER P0ST,651
SOE/EDUCATIONAL STUDIES,652
UMH UH TRAUMA BURN ACUTE CARE,653
SCHOOL OF PUBLIC HEALTH,654
UNIV LIB-GRADUATE LIB GOVERNMENT,655
UMH PSA SPLIT FUND INDIRECT,656
CLOSED-UMH MOTT UNIT MGT ADMIN,657
DBN OFFICE OF BUSINESS AFFAIRS,658
CLOSED-MICH UNION-BUSINESS OFC,659
CLOSED GREAT LAKES RES MGMT PROJ,660
CLOSED M-PATHWAYS PROJECT,661
FLINT ADMINISTRATIVE SVCS-PLANT,662
CLOSED UMH M/W/H ADMITTING OFC,663
UNIV OF MICHIGAN - FLINT ADMIN,664
FLINT OFF STDT SCVS & ENROLL MGT,665
MEDICAL SCHOOL,666
CTR M EASTERN & N AFR STUDIES,667
UMH TACU - NURSING,668
INTERNATIONAL CENTER,669
FLINT BUILDING MAINTENANCE,670
FLINT SOM UNDERGRAD AD/DEV,671
CO-CURRICULAR ACT & PROGRAMS,672
FLINT SOM ACCOUNTING,673
CLOSED UMH PATIENT CARE SERV,674
CLOSED UMH PAT FAMILY RELS MWH,675
CLOSED-MICH UNION-FOOD SERVICE,676
FLINT SOM FINANCE,677
FLINT GROUNDS MAINTENANCE,678
UMH UH NURSING ADMINISTRATION,679
CLOSED-LANDSCAPE ARCHITECT PROG,680
CLOSED-STUDENT INFORMATION SERV,681
EMERGENCY MEDICINE,682
FLINT HVAC & UTIL MAINT-PLANT,683
CLOSED-MICH UNION-OPERATIONS,684
MAJOR EVENTS-ACTIVITY,685
FLINT GRAD & SPECIAL PROGRAMS,686
UMH MESSENGER/TRANS ADMIN,687
UMH PATIENT FOOD/NUTRITION SVCS,688
CLOSED-STU THEA COMPL-CRAFT SHOP,689
CLOSED-MEDIEVAL & REN COLLEGIUM,690
UMH WASTE MANAGEMENT/RECYCLING,691
UMH WH4 - WOMENS BIRTH CENTER,692
CLOSED UMH VOLUNTEER SERV M/W/H,693
UMH NEUROLOGY DIAG & TREATMENT,694
UMH MCIT CLINICAL BUSINESS IV,695
INT MED-CLINICAL MEDICINE,696
CLOSED-RES POLICY&MANAGEMENT PRO,697
CLOSED-INST OF SCIENCE & TECH,698
DBN HENRY FORD ESTATE,699
UMH PED/PERINATAL/PSYCH NSG ADM,700
FLINT SOM STATISTICS,701
DBN COUNSELING & SUPPORT SVCS,702
FLINT SOM MARKETING,703
UMH HEALTHPLACE 101,704
RADIATION ONCOLOGY - ANN ARBOR,705
UMH CAFETERIA,706
UMH TOYS R' US,707
UMH UH NURSING 8A HEM/ONC/BONMAR,708
UMH UH RECOVERY ROOMS,709
FLINT MANAGEMENT DEAN,710
UMH NUTRITION CLINIC-EAAHC,711
CLOSED UMH PARKING OFFICE,712
UMH PROJECT SUPPORT,713
CLOSED UMH ANESTH MAIN HOSP OR,714
UMH NURSING EDUCATION,715
CLOSED UMH MATERIAL MGT CSS/LIN,716
UMH FACILITIES STOCKROOM,717
UMH PEDIATRIC DIALYSIS PROGRAM,718
CLOSED-RESEARCH ACTIVITIES,719
UNIV LIB-SCIENCES LIBRARIES,720
LIB-PUBLIC SERVICES-GENERAL,721
UMH ASSOC DIR OF M/W/H & PSYCH,722
UMH M/W/H CLINIC LABORATORY,723
CLOSED-MI UNION-RETAIL OPERATION,724
CLOSED UMH ASST DIR SUP/PROC,725
CLOSED-PHYSIOLOGY-CARDIOVASCULAR,726
CLOSED-UMH ENVIR SVCS TURNER,727
LS&A COLLEGE AUXILIARY SERVICES,728
OFF ASSOC PROV ACAD AFFAIRS,729
MICHIGAN QUARTERLY REVIEW,730
UMH NURSING PRACTICE,731
ARTS AND ENGINEERING LIBRARIES,732
UNIV LIB-MAP LIBRARY,733
UMH UH NURSING 6B MEDICINE,734
CLOSED DBN CTR FOR CORP&PROF DEV,735
UMH PATIENT CARE INFO SERVICES,736
UMH ORTHOPEDIC SURGERY CLINIC,737
FLINT EXTENSION & CONTINUINGED,738
CLOSED-PHYS-ENDOCRIN/METAB/REPRO,739
CLOSED ASIAN STUDIES PROGRAM,740
INTERIOR DESIGN,741
CLOSED GEOGRAPHY PROGRAM,742
UMH PEDIATRIC NURSING,743
FLINT PHYSICAL THERAPY PROGRAM,744
FLINT PHYSICAL EDUCATION,745
UMH SPEECH/LANGUAGE/PATHOLOGY,746
REPRODUCTIVE SCIENCES PROGRAM,747
CLOSED-SPECIAL PROJECTS DIV,748
CLOSED GLMWC INTERNATIONAL PROGR,749
UMH MOTT/WOMEN'S/HOLDEN NURSING,750
CLOSED-UMH M/K ADMINISTRATION,751
INDUSTRIAL TECHNOLOGY INSTITUTE,752
DEVELOPMENT MAJOR GIFTS PROGRAM,753
UMH LIGHT YOUR WORLD,754
UMH INPATIENT PHYSICIAN ASST-TEC,755
JUDAIC STUDIES PROGRAM,756
UMH PHARMACY GIFTS,757
FLINT HEALTH CARE,758
POP PLAN & INTERNATIONAL HEALTH,759
CENTER FOR ERGONOMICS,760
CLOSED-COMMUNICATION SERVICES,761
NEWS & INFORMATION SERVICES,762
UMH ACS NURSING CORE,763
CLOSED-COMP SCI & ENGR DIV,764
UMH PSYCH HOSPITAL ADMIN OFFICE,765
DEVELOPMENT RESEARCH,766
UMH REV/CLEARING GEN MED,767
VP FOR COMMUNICATIONS,768
CLOSED FOUNDATION RELATIONS OFF,769
CLOSED UMH MAIN HOSP CAST ROOM,770
DEV LIFE SCIENCES INITIATIVE,771
ASSOC VP DEV-SCHOOL/COLLEGE PROG,772
UMH M/W ANESTHESIA/O.R.,773
UMH ENVIRONMENTAL SERVICES,774
COLLEGIATE INST FOR VALUES & SCI,775
CLOSED-MICH UNION-SCHEDULING,776
UMH SOCIAL WORK,777
DEV DATABASE MANAGEMENT SERVICES,778
UMHHC BUSINESS DEVELOP/ANALYSIS,779
UMH PM&R ADMINISTRATION,780
TECHNOLGOY & INFORMATION,781
UMH ECMO,782
UMH FRIENDS HOSP BOARD,783
CLOSED CENTER MOLECULAR GENETICS,784
CLOSED-MICH UNION-RECREATION,785
CLOSED-MICH UNION-PROGRAMMING,786
UMH ASSOCIATE ADMINISTRATOR,787
CLOSED-VP GRAND STUDIES&RESEARCH,788
DEVELOPMENT COMMUNICATIONS,789
FLINT ENGINEERING SCIENCE,790
CLOSED UMH CONTINUING CARE SVCS,791
DIVISION OF KINESIOLOGY,792
CLOSED-MOVEMENT SCIENCE,793
UMH UH NURSING 6D CCMU,794
OFFICE OF ETHICS AND RELIGION,795
DEVL ANNUAL GIVING PROGRAM,796
UNIV LIB-MEDIA UNION LIBRARY,797
UMH MATERIAL SERVICES,798
LS&A DEPARTMENT IN LINGUISTICS,799
TECHNOLOGY MANAGEMENT OFFICE,800
CLOSED PRESIDENT'S HOUSE OPER,801
INT MED-MOLECULAR MED & GENETICS,802
UMH FRIENDS OF UNIV HOSP,803
UMH ACS INT MED GERIATRICS,804
UMH GIFT/SPEC PURPOSE MAIN HOSP,805
CLOSED-SPORTS MGT & COMM DEPT,806
UMH PEDIATRIC CARDIOLOGY,807
CLOSED OFC VP HEALTH AFFAIRS,808
DEVELOPMENT LEGAL SERVICES,809
CLOSED-STUDENT SVCS ADMIN,810
CLOSED PROGRAM ANALYSIS,811
UNIV LIB-SOCIAL WORK LIBRARY,812
ITCS-PRO BONO SUPPORT,813
UMH UH-PULMONARY MEDICINE,814
DEVL CORPORATE/FOUNDATION RELS,815
PROGRAM IN AMERICAN INSTITUTIONS,816
INT MED-GENERAL MEDICINE,817
TROTTER HOUSE,818
CLASSICAL ART&ARCHAEOLOGY PRGM,819
CLOSED CTR RES ON SOC ORGANIZATI,820
UMH H.O. ORTHOPAEDICS,821
UMH BUILDING UTILITIES,822
CLOSED UMH MAT MGMT-INV CONTROL,823
UMH BIOMEDICAL ENGINEERING,824
UNIV LIB-COOPERATIVE ACCESS SVCS,825
UMH LAUNDRY,826
BLDG SERV-AREA SUPR B3000,827
STUDENT RESIDENCES,828
CLOSED BUILDING MAINTENANCE,829
UMH HOSPITAL COMMUNICATIONS,830
CLOSED-DBN BDGT COORDINATION OFC,831
FLINT SCH OF HLTH PROF & STUDIES,832
HEALTH MANAGEMENT AND POLICY,833
UMH AMBULATORY CARE GIFT/SPEC,834
UMH INFECTION CONTROL,835
MEDICAL CENTER DEVELOPMENT,836
UMH BRIGHTON HEALTH CENTER,837
BLDG SERV-AREA SUPR B2000,838
BUILDING SERV-AREA SUPR B5000,839
UMH MEDSPORT DOMINOS ADMIN,840
UMH OPERATIONS,841
CLOSED DBN GENERAL SERVICES,842
PEDIATRICS-GENETICS,843
UMH ENTRANCE PROGRAM,844
PEDIATRICS-ENDOCRINOLOGY,845
MNTCE SERVICES & RENOVA DEPT,846
M-CARE,847
UNIVERSITY PRODUCTIONS,848
CLOSED-COGNITIVE SCIENCE & MACH,849
UMH AMBULATORY CARE CHELSEA CTR,850
UMH ALTERNATE REVENUE,851
UMH MOTT RECOVERY ROOMS,852
CLOSED CTR FOR INFO TECH INTREGR,853
CTN PUBL POL RES ORGAN TRANSPLAN,854
MEDICAL CENTER INFO TECHNOLOGY,855
UMH MED PROC UNIT - VA TECH,856
CLOSED PROTEIN STRUCTURE & DESIG,857
PEDIATRICS-CARDIOLOGY,858
VASCULAR SURGERY SECTION,859
DBN CASL-ARMENIAN RESEARCH CTR,860
CLOSED-STUDENT INFO SVCS,861
CLOSED-CTR FOR CATAL & SURFACE,862
ORAL SURGERY SECTION,863
UMH DIAGNOSTIC VASCULAR CLINIC,864
OFFICE OF OMBUDSMAN,865
CLOSED UMH AMBULATORY CARE SERVI,866
PEDIATRICS-IMMUNOLOGY/RHEUMATLGY,867
DRDA - GRAPHIC SERVICES,868
EMPLOYMENT TRANSITION PROGRAM,869
PEDIATRICS-NEUROLOGY,870
ASSOC VP DEV-CENTRAL DEV PROGRAM,871
HUMANITIES INSTITUTE,872
UMH AMBULATORY CARE SVCS,873
CLOSED USER SERVICES,874
SENIOR VICE PROVOST OF ACAD AFF,875
PEDIATRICS-NEONATAL/PERINAT MED,876
CLOSED RESOURCE MGMT SERVICES,877
CLINIC OPERATIONS-DENTISTRY,878
UMH BMT INPT NP/PA CANCER CTR,879
OFFICE OF INTERNATIONAL PROGRAMS,880
PROSTHODONTICS,881
OFF OF CEROM & PRESIDENT EVENTS,882
UMH UTILIZATION MANAGEMENT,883
UMH PATIENT SERVICES,884
DEVELOPMENT TRUSTS & BEQUESTS,885
APPLIED PHYSICS PROGRAM,886
FLINT SOM MIS,887
UMH MED REHABILITATION,888
UMH PHYSICAL MED & REHAB,889
UMH HOMECARE,890
UNIV OF MICH CANCER CENTER,891
DEV INFORMATION TECH SERVICES,892
UMHHC-AMB CARE ADMIN,893
UMH H.O. CORE NEUROLOGY,894
DBN PROGRAM FOR ACADEMIC SUPPORT,895
CLOSED-CLINICAL SCI-DENTISTRY,896
UMH PROJECT SUPPORT OFC,897
CLOSED NETWORK SYSTEMS,898
COMPUTER AIDED ENGR NETWORK,899
"CLOSED-CAMP COMP SITES,SALES,SER",900
UMH FINANCIAL SERVICES,901
CLOSED INSTR TECHNOLOGY SYS,902
UMH FACILITIES PROJECT,903
CLOSED UM-NET,904
FINANCIAL SERVICES-DENTISTRY,905
LESBIAN GAY BISEXUAL PROGRAM,906
DEVL BUDGET & ADMINISTRATION,907
SERV FOR STUDENTS W DISABILITIES,908
CLOSED UMH FACILITIES ENGINEERIN,909
SEXUAL ASSAULT PREVENTION CENTER,910
REGIONAL ALLIANCE HEALTHY SCHLS,911
UMH OB/GYN SPLIT FUND,912
CLOSED UMH CLEFT PALATE CLINIC,913
CNT FOR EDUCATIONAL IMPROVEMENT,914
DEVELOP-CAMPAIGN FOR MICHIGAN,915
ASSOC VP DEV-MANAGEMENT & ADMIN,916
PLANT LANDSCAPE ARCHITECTURE,917
CLOSED FLINT INFO TECH SVCS,918
UMH H.O. CORE INTERNAL MED,919
BUSINESS & INDUSTRIAL ASSISTANCE,920
BIOLOGIC AND MATERIALS SCIENCES,921
ACADEMIC/ADMIN SUPPORT-DENTISTRY,922
ALUMNI REL & CONT DENTAL EDUC,923
FLINT DIVERSITY EDUCATION SRVS,924
CLINIC BILLING OFFICE-DENTISTRY,925
MULTI-ETHNIC STUDENT AFFAIRS,926
UMH UH NURSING 4A URO/NEURO,927
FACILITIES - DENTISTRY,928
DBN OFF OF INSTITUTIONAL ADVAN,929
REGISTRAR-DENTISTRY,930
GRADUATE ADMISSIONS-DENTISTRY,931
INT MED-GERIATRIC MEDICINE,932
UMH INFORMATION SERVICES DIV,933
FLINT OFFICE OF UNIV RELATIONS,934
PERIODONTICS/PREVENT & GERIATICS,935
DEV & EXTERNAL RELATIONS-DENT,936
DENTAL FACULTY ASSOCIATES,937
ACADEMIC AFFAIRS-DENTISTRY,938
PREDOCTORAL ADMISSIONS-DENTISTRY,939
COMPUTING-DENTISTRY,940
ITCS AFFILIATES,941
LLOYD HALL SCHOLARS PROGRAM,942
CO-OP LIMNOLOGY & ECOSYS RES,943
ORTHODONTICS/PEDIATRIC DENTIST,944
UMH GIFTS OF ARTS,945
DEAN'S OFFICE-DENTISTRY,946
UMH UH NURSING 6C PULMONARY,947
DBN COL OF ENG-COMPUTER & INFO,948
UMH PM&R REHAB ENGINEERING,949
UMH 4A NEURO & NEUROSURG,950
ORAL MED/PATH/ONCOLOGY,951
CLOSED PSYCHIATRY CHILD SOCIAL W,952
CLOSED-PSYCHIATRY CHILD AMBULATO,953
GRADUATE SCHOOL-IDPS,954
UMH 5A ORTHO/TRAUMA,955
CLOSED PSYCHIATRY ADULT SOCIAL W,956
CLOSED FLINT EDUC OUTREACH PROG,957
PSYCHIATRY ADMIN-CENTRAL,958
UMH CHILDREN & WOMEN'S BLDG,959
"CARIOLOGY,RESTOR SCI & ENDO",960
UMH UH NURSING 7B MEDICINE,961
DIRECTOR OF RESEARCH-DENTISTRY,962
UMH GENERAL SURGERY/MEDICINE,963
OFF ACAD MULTICULTURAL INIT,964
PSYCHIATRIC DEPRESSION CENTER,965
CLOSED MSP NEUROLOGY ASSOC,966
UMH HOSPITAL FINANCIAL OFFICER,967
FLINT OFF OF EDUC OPP INITIATIVE,968
PSYCHIATRY RESEARCH/OTHER,969
UMH UH NURSING 5C SURG/PLASTIC,970
MINORITY AFFAIRS-DENTISTRY,971
UMH UH NURSING 8B GYN/ONCOLOGY,972
VA MEDICAL CENTER (PSYCH),973
ADMIN SERVICES-DENTISTRY,974
SUBSTANCE ABUSE CENTER,975
PSYCHIATRY CHILD ADMINISTRATION,976
ENGR GRADUATE EDUCATION,977
PEDIATRICS-HEMATOLOGY/ONCOLOGY,978
UMH UH TRAUMA BURN ICU,979
UMH UH NURSING 4D NEURO ICU,980
UMH UH NURSING 4C THOR/NEURO,981
FLINT VC FOR INSTITUTIONAL ADVAN,982
FLINT STUDENT LIFE,983
SR ASSOC VP STUDENT AFFAIRS,984
NEUROSCIENCE LABORATORY,985
UMH 7 B/C CARDIOLOGY,986
CTR FOR HISTORY OF MEDICINE,987
UMH UH NURSING 4D TICU,988
ASSOC DEAN OF STUDENTS-MULTICULT,989
MOOD AND ANXIETY DIVISION,990
DBN INFORMATION TECHNOLOGY,991
UMH UH NURSING 5D SICU,992
SINDECUSE DENTAL MUSEUM,993
ASSOC DEAN OF STUDENTS-ACT&PROGS,994
INT MED-GERIATRICS CENTER,995
MARCHING/ATHLETIC BANDS,996
SUBSTANCE ABUSE,997
DBN ALUMNI RELATIONS,998
ASSOC DEAN OF STDTS-SPECIAL SCVS,999
UNIV LIB SYSTEMS OFFICE,1000
FLINT ARCH & ENGR SVCS-PLANT,1001
CENTER LEARNING COMMUNITY SERV,1002
LS&A FACILITIES,1003
WILLIAM DAVIDSON INSTITUTE,1004
INTERNATIONAL INSTITUTE,1005
UMH MANAGED CARE CONTRACTING,1006
COLLABORATORY RESEARCH ELEC WORK,1007
PRE-DOCTORAL STUDIES-DENTISTRY,1008
STUDENT ORGANIZATIONS OFFICE,1009
STUDENT ACTIVITIES & LEADERSHIP,1010
PROGRAM IN MANUFACTURING,1011
CLOSED SCHIZOPHRENIA DIVISION,1012
"CW, MAILROOM, REC STOR & IMAGING",1013
"FLINT ENV,HLTH & SAFETY-PLANT",1014
CLOSED UMH PHYSICIAL SERVICES,1015
UMHHC AMBULATORY CARE HUMAN RES,1016
UMH UHRAD SPECIAL PROCEDURES,1017
LS&A MEDIA SERVICES,1018
UMH LIVONIA SURGERY CENTER,1019
VICE PRES & SECRETARY OF UNIV,1020
UMH ANESTHESIA/PAIN CLINIC,1021
CENTER FOR PROFESSIONAL DEVELOPM,1022
LS&A DEV & EXTERNAL RELATIONS,1023
ENGINEERING UNDERGRADUATE EDUC,1024
CANCER RESEARCH COMMITTEE,1025
ENGINEERING COLLEGE RELATIONS,1026
RESEARCH CENTER OF EXCELLENCE,1027
UMH UHRAD INPATIENT,1028
COE RESEARCH,1029
COE CTR FOR ADVANCED COMPUTING,1030
LS&A UNDERGRADUATE EDUCATION,1031
CLOSED UMH NOVI HEALTH CTR-AMB C,1032
LS&A ACADEMIC AFFAIRS,1033
UMH UHRAD MAMMOGRAPHY,1034
UMH UHRAD MRI,1035
UMH UHRAD CT,1036
UMH HEALTH PROMOTION DIVISION,1037
CLOSED-VPROV INFO TECH & DEAN AC,1038
UMH PLASTIC SURGERY CLINIC,1039
CLOSED-BUDGET/ADMINISTRATION,1040
UMH UHRAD GI/GU,1041
UMH CANCER CENTER,1042
LS&A INTEFLEX,1043
CLOSED-GLOBAL CHANGE PROGRAM,1044
LS&A TA TRAINING,1045
LS&A FIRST YEAR SEMINARS,1046
PUBLIC AFFAIRS,1047
UMH UHRAD ULTRASOUND,1048
CLOSED-PRG INTER-INSTL COLLAB AR,1049
PSYCH-BEHAVORIAL MEDICINE,1050
CLOSED PSYCHIATRY CHILD INPATIEN,1051
UMH OCCUPATIONAL HEALTH,1052
GENOME ETHICS COMMITTEE,1053
PROGRAM STUDY OF COMPLEX SYSTEMS,1054
DBN DEPT OF MANAGEMENT STUDIES,1055
PSYCHIATRY MANAGED CARE,1056
UMH UHRAD CENTRAL SERVICES,1057
EXECUTIVE RESIDENCE,1058
UMH CARDIOVASCULAR CENTER ADMIN,1059
POUND HOUSE,1060
DBN SCH OF MGT-ACCTG & FINANCE,1061
JOEL D. TAUBER MANUFACTURING INS,1062
MEDIA UNION,1063
LS&A MICHIGAN COMMUNITY SCHOLARS,1064
UMH UHRAD PHYSICS & ENGINEERING,1065
UMH UHRAD TRANSCRIPTION,1066
UMH UHRAD RECOVERY ROOM,1067
CLOSED-ACADEMIC OUTREACH,1068
URBAN PLANNING,1069
UNDERGRAD RES OPP PROG,1070
UMH UHRAD EQUIPMENT MAINTENANCE,1071
LS&A INFORMATION TECHNOLOGY,1072
STATE RELATIONS,1073
SCIENCE LEARNING CENTER,1074
DBN ATHLETICS & RECREATION OFF,1075
PSYCHIATRY HOSPITAL SERVICES,1076
CLOSED PSYCHIATRY ADULT 9C INPAT,1077
BIOMEDICAL ENGINEERING,1078
INST FOR RESEARCH WOMEN & GENDER,1079
BUILDING SERV-AREA SUPR B7000,1080
KEY SYSTEMS & DOORS,1081
BLDG SERV-AREA SUPR B4000,1082
PLANT HOSPITAL MAINTENANCE,1083
DIGITAL LIBRARY INITIATIVES(DLI),1084
ELECTRICAL & SHEETMETAL,1085
FLINT SOCIAL WORK PROGRAM,1086
ZONE MAINTENANCE,1087
NEUROPSYCHOLOGY,1088
VICE PROVOST FOR THE ARTS,1089
CONSTRUCTION & ARCH TRADES,1090
PEDIATRICS-GASTROENTEROLOGY,1091
PROCUREMENT/ACCOUNTS PAYABLE,1092
FLINT DEPT OF COMMUNICATION,1093
UMHHC AMBCAREE MIDDLEBELT PEDS,1094
UMH PM&R SPINE CENTER,1095
LABOR SERVICES - UTILITIES,1096
FLINT UNIVERSITY OUTREACH,1097
MECHANICAL SYSTEMS,1098
DBN CAREER PLANNING & PLACE OFF,1099
ICPSR,1100
FLINT INFORMATION TECHNOLOGY SVC,1101
FACILITIES MNTCE/WORK CONTROL,1102
COMMUNITY DENTAL CLINIC,1103
OFFICE OF EVALUATIONS & EXAMINAT,1104
PSYCHIATRY CHILD SERVICES,1105
PSYCHIATRY ADULT AMBULATORY,1106
LIBRARY PUBLIC SERVICES,1107
FLINT SCH OF ED AND HUMAN SVCS,1108
SOE/STUDENT SERVICES,1109
CENTRAL POWER PLANT,1110
RISK MANAGEMENT - REHABILITATION,1111
MAIS EAS-ADMINISTRATIVE,1112
EXEC VP FOR MEDICAL AFFAIRS,1113
BUILDING SERVICES-PEST MGT,1114
CIO-UNV CORP FOR ADV INT DEVE,1115
FLINT CAREER DEVELOPMENT CENTER,1116
UMHHC AMBCAREC BRIARWOOD MG,1117
PURCHASED UTILITIES,1118
PEDIATRICS-NEPHROLOGY,1119
OXFORD CONFERENCE CENTER,1120
POP STUDIES-ADMINISTRATION,1121
SOE/CTR STUDY HIGHER & POSTSEC E,1122
I.E.S.E.T.,1123
U OF MICHIGAN - DEARBORN,1124
OFFICE OF BUDGET ADMINISTRATION,1125
CLOSED CIO-MICH VIRTUAL AUTO COL,1126
FLINT MAJOR REPAIR,1127
SOE/DEVELOPMENT/ALUMNI RELATIONS,1128
UMHHC MANAGED CARE APPLICATIONS,1129
ORAL/MAXILLOFACIAL SURGERY/HOSP,1130
ARTS OF CITIZENSHIP PROGRAM,1131
UMHHC AMBCAREC BRIARWOOD FP,1132
UMHHC AMBCAREE NOVI HC,1133
UMHHC AMBCAREE PLYMOUTH HC,1134
CLOSED-GWM-PARKING MAINTENANCE,1135
UMHHC AMBCAREC EAST ANN ARBOR,1136
VP FOR GOVERNMENT RELATIONS,1137
UMHHC AMBCAREW CHELSEA FP,1138
NORTH CAMPUS ELECTRIC,1139
UMH OPHTHY LIVONIA ASC,1140
UMHHC AMBCAREW DEXTER FP,1141
UMHHC AMBCAREW BRIGHTON HC,1142
DBN GOVERNMENTAL RELATIONS,1143
UMH PED CARDIO/THOR ICU,1144
UMH PEDIATRIC ICU,1145
UMHHC AMBCAREE LIVONIA HC,1146
UMH WEST ANN ARBOR HEALTH CTR,1147
UNIV PARKING SVCS-MEDICAL CAMPUS,1148
UMH NURSING MOTT 5 EAST,1149
UMH TC - KIDNEY POST,1150
INTERDISCIPLINARY PROF PROGRAMS,1151
CACR,1152
UMHHC AMBCAREW HOWELL PEDS,1153
CLOSED UMH MONROE HEALTH CENTER,1154
UMHHC AMBCAREE-CANTON HC,1155
UMHHC AMBCAREE PLY/CANTON HC,1156
UMH NURSING 7 MOTT,1157
CLOSED UMHHC AMBCARE STOCKBRIDGE,1158
UMH POD C CARDIOLOGY PROFESS,1159
UMHHC HFS TRAINING PROGRAM,1160
UMHHC AMBCAREW CHELSEA INT MED,1161
UMHHC AMBCAREC YPSILANTI PEDS,1162
UMHHC AMBCAREC SALINE HC,1163
CARDIAC SURGERY SECTION,1164
CLOSED MAIS FINANCIAL/PHYS CPU,1165
UMHHC AMBCAREW INT MED SPEC,1166
UMHHC AMBCAREC YPSILANTI FP,1167
UMH ANESTHESIOLOGY UH TECH,1168
CLOSED UMH HOWELL INT MED,1169
UMH GSE CLINIC PROF,1170
UMHHC AMBCAREC PANAHI ASSOC,1171
FLINT CTR FOR ENVIRON RESEARCH,1172
CARDIAC SURGERY SUPPORT,1173
WOMEN IN SCIENCE & ENGINEERING,1174
UMH NURSING MOTT 5 WEST,1175
UMH NURSING MOTT 5 EAST/6 WEST,1176
UMH FIN DECISION SUPPORT GROUP,1177
MAIS TIO-APPLICATION INFRASTRUCT,1178
CLOSED MAIS EAS-APPLICATION SUPP,1179
HEALTH SERV RESEARCH INITIATIVE,1180
UMH B2 PROCEDURE RM CANCER CTR,1181
PERSONNEL SERVICES - DENTISTRY,1182
PEDIATRICS-AMBULATORY CARE PROG,1183
MED ED/BMC MEDIA,1184
MAIS STUDENT ADMIN CPU,1185
DETROIT OBSERVATORY,1186
"CTR FOR RES ON ETHN,CULT,&HLTH",1187
UMH AMBULATORY CARE REG/INS VERI,1188
CENTER FOR GENE THERAPY,1189
OTHER ACTIVITIES - MEDICAL SCH,1190
MAIS TIO-OPERATIONS,1191
UMH ONCOLOGY 3 PROFESSIONAL,1192
INVESTMENT OFFICE,1193
MAIS TIO-DATABASE ADMIN/TUNING,1194
UMH BW HLTH ASSOC PEDS P.C.-PRO,1195
UMH INFUSION CANCER CENTER,1196
UMH ANESTHESIA NURSING,1197
UMH DIRECTOR NURSING ADMIN 176,1198
UMH EAST A2 HLTH CTR MED PEDIATR,1199
UMH TRANSFUSION/APHERESIS,1200
UMH NURSING INVESTMENT,1201
UMH EAST A2 HLTH CTR OBS/GYN TEC,1202
FLINT SCHOOL PARTNERSHIPS,1203
UMH BRIGHTON INTERNAL MEDICINE,1204
MAIS EAS-DATA DELIVERY/ADMIN,1205
LS&A OUTREACH SERVICES,1206
CLOSED-SOUTH AFRICAN INITIATIVES,1207
UMH NURSING 8D AND 9C,1208
UMH CANTON HEALTH CENTER CORE,1209
UMH ECT-NURSING SERVICES,1210
UMH EMER NURSE TRIAGE LINE-TRSF,1211
UMH ELECTROPHYSIO TECHNICAL,1212
LS&A DEAN'S AREA,1213
MAIS US-HELP DESK,1214
UMH PRE AND POST TRANSPLANT,1215
UMH BRIARWOOD MED GRP SPEC TECH,1216
UMH BMG SPECIALTY PROFESSIONAL,1217
GENERAL CLINICAL RESEARCH CENTER,1218
UMH CHILD/ADOL PSYCH HOSP LVL 6,1219
MAIS EAS-SERVICE DELIVERY,1220
UMH CHELSEA FAMILY MEDICINE TECH,1221
LS&A PLANNING & OPERATIONS - ADM,1222
MAIS US CONSULTING SERVICES,1223
DEPART OF CSESP,1224
UMH EAST A2 HLTH CTR GEN PEDIATR,1225
UMH ANESTHIOLOGY/PAIN CLINIC,1226
CLOSED MAIS EAS - DATA ADMINISTR,1227
UMH MCIT OPERATIONS,1228
UMH ANESTHESIOLOGY OBSTETRICS TE,1229
UMH IV THERAPY TEAM,1230
FLINT OFFICE OF SPONSORED RESEAR,1231
MAIS US-ADMINISTRATION,1232
UMH REFERRING PHYS 800# PROG,1233
UMH EAST AAH CTR GENERAL MED,1234
"CLOSED MAIS EAS-HR,PAYROLL BEN",1235
UMH DERMATOLOGY TECHNICAL,1236
UMH PERITONEAL DIALYSIS TECH,1237
BURSLEY SNACK BAR,1238
LS&A HUMAN RESOURCES,1239
UMH CHRONIC HEMODIALYSIS LIVONIA,1240
CLOSED MAIS US-USER ACCESS & TRA,1241
UMH ACUTE HEMODIALYSIS TECHNICAL,1242
UMH LIVONIA CORE,1243
UMH MLABS CLIENT SERVICES,1244
UMH POD C CARDIOLOGY TECHNICAL,1245
BUSINESS & FINANCE NETWORK SVCS,1246
MAIS US-COMMUNICATIONS,1247
UMH MCIT CHIEF INFO OFFICER,1248
MAIS TIO-WORKSTATION/LAN SUPP,1249
UMH MCIT-CLINICAL BUSINESS III,1250
UMH HBS/WC LOAN FUND,1251
UMHHC-AMBCARE EAST,1252
UMH BRIGHTON CORE,1253
UMH CLINIC TECHNICAL,1254
MAIS ADMINISTRATION,1255
CLOSED UMH BREAS CARE CTR PROF C,1256
UMH BRIARWOOD MED GRP PRIM CARE,1257
UMH PEDIATRIC DIALYSIS,1258
UMH CHRONIC HEMODIALYSIS TECH,1259
UMH TEAM 4 CANCER CENTER,1260
